CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-520,Merced County CoC,35-44,187
2018,CA-520,Merced County CoC,45-54,206
2018,CA-520,Merced County CoC,55-64,220
2018,CA-520,Merced County CoC,65+,58
2018,CA-520,Merced County CoC,Under 18,20
2018,CA-520,Merced County CoC,Unknown,*
2018,CA-521,Yolo County CoC,18-24,85
2018,CA-521,Yolo County CoC,25-34,158
2018,CA-521,Yolo County CoC,35-44,158
2018,CA-521,Yolo County CoC,45-54,118
2018,CA-521,Yolo County CoC,55-64,92
2018,CA-521,Yolo County CoC,65+,22
2018,CA-521,Yolo County CoC,Under 18,308
2018,CA-521,Yolo County CoC,Unknown,*
2018,CA-522,Humboldt County CoC,18-24,170
2018,CA-522,Humboldt County CoC,25-34,164
2018,CA-522,Humboldt County CoC,35-44,148
2018,CA-522,Humboldt County CoC,45-54,121
2018,CA-522,Humboldt County CoC,55-64,110
2018,CA-522,Humboldt County CoC,65+,38
2018,CA-522,Humboldt County CoC,Under 18,290
2018,CA-522,Humboldt County CoC,Unknown,21
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,37
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,64
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,32
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,13
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,189
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,19
2018,CA-524,"Yuba, Sutter Counties CoC",18-24,*
2018,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2018,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2018,CA-524,"Yuba, Sutter Counties CoC",65+,*
2018,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2018,CA-525,El Dorado County CoC,18-24,*
2018,CA-525,El Dorado County CoC,25-34,*
2018,CA-525,El Dorado County CoC,35-44,*
2018,CA-525,El Dorado County CoC,45-54,*
2018,CA-525,El Dorado County CoC,55-64,*
2018,CA-525,El Dorado County CoC,65+,*
2018,CA-525,El Dorado County CoC,Under 18,231
2018,CA-525,El Dorado County CoC,Unknown,*
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,33
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,75
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,55
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,39
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,36
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,12
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,156
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,*
2018,CA-527,Tehama County CoC,18-24,37
2018,CA-527,Tehama County CoC,25-34,73
2018,CA-527,Tehama County CoC,35-44,77
2018,CA-527,Tehama County CoC,45-54,64
2018,CA-527,Tehama County CoC,55-64,67
2018,CA-527,Tehama County CoC,65+,17
2018,CA-527,Tehama County CoC,Under 18,73
2018,CA-527,Tehama County CoC,Unknown,*
2018,CA-529,Lake County CoC,18-24,*
2018,CA-529,Lake County CoC,25-34,*
2018,CA-529,Lake County CoC,35-44,*
2018,CA-529,Lake County CoC,45-54,*
2018,CA-529,Lake County CoC,55-64,21
2018,CA-529,Lake County CoC,65+,*
2018,CA-529,Lake County CoC,Under 18,28
2018,CA-529,Lake County CoC,Unknown,*
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,20
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,40
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,33
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,20
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,65
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Unknown,*
2018,CA-531,Nevada County CoC,18-24,59
2018,CA-531,Nevada County CoC,25-34,82
2018,CA-531,Nevada County CoC,35-44,115
2018,CA-531,Nevada County CoC,45-54,108
2018,CA-531,Nevada County CoC,55-64,102
2018,CA-531,Nevada County CoC,65+,40
2018,CA-531,Nevada County CoC,Under 18,53
2018,CA-531,Nevada County CoC,Unknown,*
2018,CA-600,Los Angeles County CoC,18-24,5688
2018,CA-600,Los Angeles County CoC,25-34,8810
2018,CA-600,Los Angeles County CoC,35-44,7142
2018,CA-600,Los Angeles County CoC,45-54,7445
2018,CA-600,Los Angeles County CoC,55-64,6802
2018,CA-600,Los Angeles County CoC,65+,2176
2018,CA-600,Los Angeles County CoC,Under 18,15413
2018,CA-600,Los Angeles County CoC,Unknown,1069
2018,CA-601,San Diego County CoC,18-24,964
2018,CA-601,San Diego County CoC,25-34,2298
2018,CA-601,San Diego County CoC,35-44,2299
2018,CA-601,San Diego County CoC,45-54,2707
2018,CA-601,San Diego County CoC,55-64,2761
2018,CA-601,San Diego County CoC,65+,813
2018,CA-601,San Diego County CoC,Under 18,3280
2018,CA-601,San Diego County CoC,Unknown,291
2018,CA-602,Orange County CoC,18-24,577
2018,CA-602,Orange County CoC,25-34,1566
2018,CA-602,Orange County CoC,35-44,1466
2018,CA-602,Orange County CoC,45-54,1639
2018,CA-602,Orange County CoC,55-64,1270
2018,CA-602,Orange County CoC,65+,413
2018,CA-602,Orange County CoC,Under 18,2930
2018,CA-602,Orange County CoC,Unknown,2260
2018,CA-603,Santa Barbara County CoC,18-24,174
2018,CA-603,Santa Barbara County CoC,25-34,445
2018,CA-603,Santa Barbara County CoC,35-44,432
2018,CA-603,Santa Barbara County CoC,45-54,456
2018,CA-603,Santa Barbara County CoC,55-64,487
2018,CA-603,Santa Barbara County CoC,65+,192
2018,CA-603,Santa Barbara County CoC,Under 18,518
2018,CA-603,Santa Barbara County CoC,Unknown,42
2018,CA-604,Kern County CoC,18-24,338
2018,CA-604,Kern County CoC,25-34,763
2018,CA-604,Kern County CoC,35-44,575
2018,CA-604,Kern County CoC,45-54,557
2018,CA-604,Kern County CoC,55-64,439
2018,CA-604,Kern County CoC,65+,115
2018,CA-604,Kern County CoC,Under 18,1979
2018,CA-604,Kern County CoC,Unknown,114
2018,CA-606,Long Beach CoC (Los Angeles County),18-24,122
2018,CA-606,Long Beach CoC (Los Angeles County),25-34,341
2018,CA-606,Long Beach CoC (Los Angeles County),35-44,300
2018,CA-606,Long Beach CoC (Los Angeles County),45-54,409
2018,CA-606,Long Beach CoC (Los Angeles County),55-64,484
2018,CA-606,Long Beach CoC (Los Angeles County),65+,173
2018,CA-606,Long Beach CoC (Los Angeles County),Under 18,698
2018,CA-606,Long Beach CoC (Los Angeles County),Unknown,20
2018,CA-607,Pasadena CoC (Los Angeles County),18-24,75
2018,CA-607,Pasadena CoC (Los Angeles County),25-34,205
2018,CA-607,Pasadena CoC (Los Angeles County),35-44,179
2018,CA-607,Pasadena CoC (Los Angeles County),45-54,234
2018,CA-607,Pasadena CoC (Los Angeles County),55-64,159
2018,CA-607,Pasadena CoC (Los Angeles County),65+,73
2018,CA-607,Pasadena CoC (Los Angeles County),Under 18,419
2018,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2018,CA-608,Riverside County CoC,18-24,667
2018,CA-608,Riverside County CoC,25-34,1252
2018,CA-608,Riverside County CoC,35-44,1102
2018,CA-608,Riverside County CoC,45-54,1164
2018,CA-608,Riverside County CoC,55-64,989
2018,CA-608,Riverside County CoC,65+,293
2018,CA-608,Riverside County CoC,Under 18,1648
2018,CA-608,Riverside County CoC,Unknown,102
2018,CA-609,San Bernardino County CoC,18-24,535
2018,CA-609,San Bernardino County CoC,25-34,1071
2018,CA-609,San Bernardino County CoC,35-44,923
2018,CA-609,San Bernardino County CoC,45-54,686
2018,CA-609,San Bernardino County CoC,55-64,549
2018,CA-609,San Bernardino County CoC,65+,163
2018,CA-609,San Bernardino County CoC,Under 18,3598
2018,CA-609,San Bernardino County CoC,Unknown,140
2018,CA-611,Ventura County CoC,18-24,113
2018,CA-611,Ventura County CoC,25-34,227
2018,CA-611,Ventura County CoC,35-44,280
2018,CA-611,Ventura County CoC,45-54,291
2018,CA-611,Ventura County CoC,55-64,281
2018,CA-611,Ventura County CoC,65+,98
2018,CA-611,Ventura County CoC,Under 18,443
2018,CA-611,Ventura County CoC,Unknown,21
2018,CA-612,Glendale CoC (Los Angeles County),18-24,15
2018,CA-612,Glendale CoC (Los Angeles County),25-34,66
2018,CA-612,Glendale CoC (Los Angeles County),35-44,37
2018,CA-612,Glendale CoC (Los Angeles County),45-54,46
2018,CA-612,Glendale CoC (Los Angeles County),55-64,42
2018,CA-612,Glendale CoC (Los Angeles County),65+,17
2018,CA-612,Glendale CoC (Los Angeles County),Under 18,139
2018,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2018,CA-613,Imperial County CoC,18-24,80
2018,CA-613,Imperial County CoC,25-34,142
2018,CA-613,Imperial County CoC,35-44,111
2018,CA-613,Imperial County CoC,45-54,99
2018,CA-613,Imperial County CoC,55-64,72
2018,CA-613,Imperial County CoC,65+,46
2018,CA-613,Imperial County CoC,Under 18,310
2018,CA-613,Imperial County CoC,Unknown,*
2018,CA-614,San Luis Obispo County CoC,18-24,138
2018,CA-614,San Luis Obispo County CoC,25-34,321
2018,CA-614,San Luis Obispo County CoC,35-44,245
2018,CA-614,San Luis Obispo County CoC,45-54,238
2018,CA-614,San Luis Obispo County CoC,55-64,212
2018,CA-614,San Luis Obispo County CoC,65+,99
2018,CA-614,San Luis Obispo County CoC,Under 18,533
2018,CA-614,San Luis Obispo County CoC,Unknown,24
2019,All,California,18-24,17313
2019,All,California,25-34,33248
2019,All,California,35-44,30195
2019,All,California,45-54,29058
2019,All,California,55-64,27653
2019,All,California,65+,9694
2019,All,California,Under 18,59654
2019,All,California,Unknown,4912
2019,CA-500,Santa Clara County CoC,18-24,888
2019,CA-500,Santa Clara County CoC,25-34,1870
2019,CA-500,Santa Clara County CoC,35-44,1890
2019,CA-500,Santa Clara County CoC,45-54,1938
2019,CA-500,Santa Clara County CoC,55-64,1947
2019,CA-500,Santa Clara County CoC,65+,661
2019,CA-500,Santa Clara County CoC,Under 18,2833
2019,CA-500,Santa Clara County CoC,Unknown,193
2019,CA-501,San Francisco CoC,18-24,881
2019,CA-501,San Francisco CoC,25-34,1211
2019,CA-501,San Francisco CoC,35-44,1135
2019,CA-501,San Francisco CoC,45-54,974
2019,CA-501,San Francisco CoC,55-64,845
2019,CA-501,San Francisco CoC,65+,321
2019,CA-501,San Francisco CoC,Under 18,2572
2019,CA-501,San Francisco CoC,Unknown,178
2019,CA-502,Alameda County CoC,18-24,763
2019,CA-502,Alameda County CoC,25-34,1147
2019,CA-502,Alameda County CoC,35-44,1097
2019,CA-502,Alameda County CoC,45-54,1151
2019,CA-502,Alameda County CoC,55-64,1226
2019,CA-502,Alameda County CoC,65+,460
2019,CA-502,Alameda County CoC,Under 18,1751
2019,CA-502,Alameda County CoC,Unknown,116
2019,CA-503,Sacramento County CoC,18-24,1003
2019,CA-503,Sacramento County CoC,25-34,1480
2019,CA-503,Sacramento County CoC,35-44,1438
2019,CA-503,Sacramento County CoC,45-54,1494
2019,CA-503,Sacramento County CoC,55-64,1265
2019,CA-503,Sacramento County CoC,65+,372
2019,CA-503,Sacramento County CoC,Under 18,3838
2019,CA-503,Sacramento County CoC,Unknown,182
2019,CA-504,Sonoma County CoC,18-24,297
2019,CA-504,Sonoma County CoC,25-34,545
2019,CA-504,Sonoma County CoC,35-44,622
2019,CA-504,Sonoma County CoC,45-54,614
2019,CA-504,Sonoma County CoC,55-64,635
2019,CA-504,Sonoma County CoC,65+,275
2019,CA-504,Sonoma County CoC,Under 18,837
2019,CA-504,Sonoma County CoC,Unknown,48
2019,CA-505,Contra Costa County CoC,18-24,400
2019,CA-505,Contra Costa County CoC,25-34,1108
2019,CA-505,Contra Costa County CoC,35-44,1020
2019,CA-505,Contra Costa County CoC,45-54,1003
2019,CA-505,Contra Costa County CoC,55-64,1002
2019,CA-505,Contra Costa County CoC,65+,402
2019,CA-505,Contra Costa County CoC,Under 18,1220
2019,CA-505,Contra Costa County CoC,Unknown,61
2019,CA-506,"Monterey, San Benito Counties CoC",18-24,167
2019,CA-506,"Monterey, San Benito Counties CoC",25-34,371
2019,CA-506,"Monterey, San Benito Counties CoC",35-44,310
2019,CA-506,"Monterey, San Benito Counties CoC",45-54,287
2019,CA-506,"Monterey, San Benito Counties CoC",55-64,312
2019,CA-506,"Monterey, San Benito Counties CoC",65+,113
2019,CA-506,"Monterey, San Benito Counties CoC",Under 18,836
2019,CA-506,"Monterey, San Benito Counties CoC",Unknown,42
2019,CA-507,Marin County CoC,18-24,72
2019,CA-507,Marin County CoC,25-34,193
2019,CA-507,Marin County CoC,35-44,185
2019,CA-507,Marin County CoC,45-54,183
2019,CA-507,Marin County CoC,55-64,192
2019,CA-507,Marin County CoC,65+,103
2019,CA-507,Marin County CoC,Under 18,295
2019,CA-507,Marin County CoC,Unknown,17
2019,CA-508,Santa Cruz County CoC,18-24,127
2019,CA-508,Santa Cruz County CoC,25-34,363
2019,CA-508,Santa Cruz County CoC,35-44,373
2019,CA-508,Santa Cruz County CoC,45-54,359
2019,CA-508,Santa Cruz County CoC,55-64,328
2019,CA-508,Santa Cruz County CoC,65+,152
2019,CA-508,Santa Cruz County CoC,Under 18,490
2019,CA-508,Santa Cruz County CoC,Unknown,75
2019,CA-509,Mendocino County CoC,18-24,63
2019,CA-509,Mendocino County CoC,25-34,132
2019,CA-509,Mendocino County CoC,35-44,141
2019,CA-509,Mendocino County CoC,45-54,125
2019,CA-509,Mendocino County CoC,55-64,118
2019,CA-509,Mendocino County CoC,65+,36
2019,CA-509,Mendocino County CoC,Under 18,109
2019,CA-509,Mendocino County CoC,Unknown,20
2019,CA-510,Stanislaus County CoC,18-24,550
2019,CA-510,Stanislaus County CoC,25-34,1010
2019,CA-510,Stanislaus County CoC,35-44,1011
2019,CA-510,Stanislaus County CoC,45-54,796
2019,CA-510,Stanislaus County CoC,55-64,657
2019,CA-510,Stanislaus County CoC,65+,200
2019,CA-510,Stanislaus County CoC,Under 18,1984
2019,CA-510,Stanislaus County CoC,Unknown,75
2019,CA-511,San Joaquin County CoC,18-24,878
2019,CA-511,San Joaquin County CoC,25-34,1896
2019,CA-511,San Joaquin County CoC,35-44,1589
2019,CA-511,San Joaquin County CoC,45-54,1229
2019,CA-511,San Joaquin County CoC,55-64,907
2019,CA-511,San Joaquin County CoC,65+,310
2019,CA-511,San Joaquin County CoC,Under 18,4151
2019,CA-511,San Joaquin County CoC,Unknown,188
2019,CA-512,San Mateo County CoC,18-24,280
2019,CA-512,San Mateo County CoC,25-34,715
2019,CA-512,San Mateo County CoC,35-44,650
2019,CA-512,San Mateo County CoC,45-54,700
2019,CA-512,San Mateo County CoC,55-64,658
2019,CA-512,San Mateo County CoC,65+,242
2019,CA-512,San Mateo County CoC,Under 18,1125
2019,CA-512,San Mateo County CoC,Unknown,70
2019,CA-513,"Kings, Tulare Counties CoC",18-24,331
2019,CA-513,"Kings, Tulare Counties CoC",25-34,641
2019,CA-513,"Kings, Tulare Counties CoC",35-44,620
2019,CA-513,"Kings, Tulare Counties CoC",45-54,431
2019,CA-513,"Kings, Tulare Counties CoC",55-64,291
2019,CA-513,"Kings, Tulare Counties CoC",65+,79
2019,CA-513,"Kings, Tulare Counties CoC",Under 18,1032
2019,CA-513,"Kings, Tulare Counties CoC",Unknown,45
2019,CA-514,"Fresno, Madera Counties CoC",18-24,273
2019,CA-514,"Fresno, Madera Counties CoC",25-34,335
2019,CA-514,"Fresno, Madera Counties CoC",35-44,408
2019,CA-514,"Fresno, Madera Counties CoC",45-54,437
2019,CA-514,"Fresno, Madera Counties CoC",55-64,440
2019,CA-514,"Fresno, Madera Counties CoC",65+,130
2019,CA-514,"Fresno, Madera Counties CoC",Under 18,653
2019,CA-514,"Fresno, Madera Counties CoC",Unknown,39
2019,CA-515,Placer County CoC,18-24,98
2019,CA-515,Placer County CoC,25-34,303
2019,CA-515,Placer County CoC,35-44,281
2019,CA-515,Placer County CoC,45-54,292
2019,CA-515,Placer County CoC,55-64,238
2019,CA-515,Placer County CoC,65+,87
2019,CA-515,Placer County CoC,Under 18,393
2019,CA-515,Placer County CoC,Unknown,15
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,48
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,143
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,109
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,94
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,115
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,43
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,129
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,178
2019,CA-517,Napa County CoC,18-24,62
2019,CA-517,Napa County CoC,25-34,183
2019,CA-517,Napa County CoC,35-44,168
2019,CA-517,Napa County CoC,45-54,182
2019,CA-517,Napa County CoC,55-64,176
2019,CA-517,Napa County CoC,65+,55
2019,CA-517,Napa County CoC,Under 18,133
2019,CA-517,Napa County CoC,Unknown,*
2019,CA-518,Solano County CoC,18-24,65
2019,CA-518,Solano County CoC,25-34,197
2019,CA-518,Solano County CoC,35-44,193
2019,CA-518,Solano County CoC,45-54,185
2019,CA-518,Solano County CoC,55-64,214
2019,CA-518,Solano County CoC,65+,72
2019,CA-518,Solano County CoC,Under 18,245
2019,CA-518,Solano County CoC,Unknown,18
2019,CA-519,Butte County CoC,18-24,125
2019,CA-519,Butte County CoC,25-34,299
2019,CA-519,Butte County CoC,35-44,291
2019,CA-519,Butte County CoC,45-54,294
2019,CA-519,Butte County CoC,55-64,300
2019,CA-519,Butte County CoC,65+,139
2019,CA-519,Butte County CoC,Under 18,302
2019,CA-519,Butte County CoC,Unknown,27
2019,CA-520,Merced County CoC,18-24,288
2019,CA-520,Merced County CoC,25-34,520
2019,CA-520,Merced County CoC,35-44,463
2019,CA-520,Merced County CoC,45-54,302
2019,CA-520,Merced County CoC,55-64,270
2019,CA-520,Merced County CoC,65+,70
2019,CA-520,Merced County CoC,Under 18,1171
2019,CA-520,Merced County CoC,Unknown,59
2019,CA-521,Yolo County CoC,18-24,98
2019,CA-521,Yolo County CoC,25-34,191
2019,CA-521,Yolo County CoC,35-44,200
2019,CA-521,Yolo County CoC,45-54,115
2019,CA-521,Yolo County CoC,55-64,114
2019,CA-521,Yolo County CoC,65+,45
2019,CA-521,Yolo County CoC,Under 18,420
2019,CA-521,Yolo County CoC,Unknown,20
2019,CA-522,Humboldt County CoC,18-24,206
2019,CA-522,Humboldt County CoC,25-34,228
2019,CA-522,Humboldt County CoC,35-44,255
2019,CA-522,Humboldt County CoC,45-54,261
2019,CA-522,Humboldt County CoC,55-64,213
2019,CA-522,Humboldt County CoC,65+,79
2019,CA-522,Humboldt County CoC,Under 18,323
2019,CA-522,Humboldt County CoC,Unknown,49
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,44
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,66
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,33
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,18
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,16
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",65+,*
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,189
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,22
2019,CA-524,"Yuba, Sutter Counties CoC",18-24,*
2019,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2019,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2019,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2019,CA-524,"Yuba, Sutter Counties CoC",55-64,*
2019,CA-524,"Yuba, Sutter Counties CoC",65+,*
2019,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2019,CA-525,El Dorado County CoC,18-24,*
2019,CA-525,El Dorado County CoC,25-34,13
2019,CA-525,El Dorado County CoC,35-44,*
2019,CA-525,El Dorado County CoC,45-54,12
2019,CA-525,El Dorado County CoC,55-64,*
2019,CA-525,El Dorado County CoC,65+,*
2019,CA-525,El Dorado County CoC,Under 18,165
2019,CA-525,El Dorado County CoC,Unknown,*
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,23
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,55
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,67
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,57
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,51
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,13
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,118
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,*
2019,CA-527,Tehama County CoC,18-24,24
2019,CA-527,Tehama County CoC,25-34,62
2019,CA-527,Tehama County CoC,35-44,73
2019,CA-527,Tehama County CoC,45-54,71
2019,CA-527,Tehama County CoC,55-64,69
2019,CA-527,Tehama County CoC,65+,23
2019,CA-527,Tehama County CoC,Under 18,53
2019,CA-527,Tehama County CoC,Unknown,*
2019,CA-529,Lake County CoC,18-24,15
2019,CA-529,Lake County CoC,25-34,44
2019,CA-529,Lake County CoC,35-44,38
2019,CA-529,Lake County CoC,45-54,12
2019,CA-529,Lake County CoC,55-64,18
2019,CA-529,Lake County CoC,65+,*
2019,CA-529,Lake County CoC,Under 18,116
2019,CA-529,Lake County CoC,Unknown,*
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,13
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,29
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,20
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,21
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,23
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,42
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Unknown,*
2019,CA-531,Nevada County CoC,18-24,56
2019,CA-531,Nevada County CoC,25-34,117
2019,CA-531,Nevada County CoC,35-44,119
2019,CA-531,Nevada County CoC,45-54,130
2019,CA-531,Nevada County CoC,55-64,139
2019,CA-531,Nevada County CoC,65+,48
2019,CA-531,Nevada County CoC,Under 18,30
2019,CA-531,Nevada County CoC,Unknown,*
2019,CA-600,Los Angeles County CoC,18-24,5448
2019,CA-600,Los Angeles County CoC,25-34,9059
2019,CA-600,Los Angeles County CoC,35-44,7282
2019,CA-600,Los Angeles County CoC,45-54,6954
2019,CA-600,Los Angeles County CoC,55-64,6835
2019,CA-600,Los Angeles County CoC,65+,2372
2019,CA-600,Los Angeles County CoC,Under 18,16820
2019,CA-600,Los Angeles County CoC,Unknown,1013
2019,CA-601,San Diego County CoC,18-24,966
2019,CA-601,San Diego County CoC,25-34,2502
2019,CA-601,San Diego County CoC,35-44,2477
2019,CA-601,San Diego County CoC,45-54,2835
2019,CA-601,San Diego County CoC,55-64,3037
2019,CA-601,San Diego County CoC,65+,959
2019,CA-601,San Diego County CoC,Under 18,3139
2019,CA-601,San Diego County CoC,Unknown,501
2019,CA-602,Orange County CoC,18-24,653
2019,CA-602,Orange County CoC,25-34,1928
2019,CA-602,Orange County CoC,35-44,1892
2019,CA-602,Orange County CoC,45-54,2048
2019,CA-602,Orange County CoC,55-64,1782
2019,CA-602,Orange County CoC,65+,592
2019,CA-602,Orange County CoC,Under 18,2826
2019,CA-602,Orange County CoC,Unknown,881
2019,CA-603,Santa Barbara County CoC,18-24,160
2019,CA-603,Santa Barbara County CoC,25-34,453
2019,CA-603,Santa Barbara County CoC,35-44,477
2019,CA-603,Santa Barbara County CoC,45-54,506
2019,CA-603,Santa Barbara County CoC,55-64,579
2019,CA-603,Santa Barbara County CoC,65+,223
2019,CA-603,Santa Barbara County CoC,Under 18,417
2019,CA-603,Santa Barbara County CoC,Unknown,39
2019,CA-604,Kern County CoC,18-24,370
2019,CA-604,Kern County CoC,25-34,715
2019,CA-604,Kern County CoC,35-44,607
2019,CA-604,Kern County CoC,45-54,522
2019,CA-604,Kern County CoC,55-64,451
2019,CA-604,Kern County CoC,65+,135
2019,CA-604,Kern County CoC,Under 18,2229
2019,CA-604,Kern County CoC,Unknown,141
2019,CA-606,Long Beach CoC (Los Angeles County),18-24,158
2019,CA-606,Long Beach CoC (Los Angeles County),25-34,421
2019,CA-606,Long Beach CoC (Los Angeles County),35-44,370
2019,CA-606,Long Beach CoC (Los Angeles County),45-54,466
2019,CA-606,Long Beach CoC (Los Angeles County),55-64,584
2019,CA-606,Long Beach CoC (Los Angeles County),65+,225
2019,CA-606,Long Beach CoC (Los Angeles County),Under 18,722
2019,CA-606,Long Beach CoC (Los Angeles County),Unknown,34
2019,CA-607,Pasadena CoC (Los Angeles County),18-24,94
2019,CA-607,Pasadena CoC (Los Angeles County),25-34,169
2019,CA-607,Pasadena CoC (Los Angeles County),35-44,163
2019,CA-607,Pasadena CoC (Los Angeles County),45-54,181
2019,CA-607,Pasadena CoC (Los Angeles County),55-64,189
2019,CA-607,Pasadena CoC (Los Angeles County),65+,70
2019,CA-607,Pasadena CoC (Los Angeles County),Under 18,215
2019,CA-607,Pasadena CoC (Los Angeles County),Unknown,18
2019,CA-608,Riverside County CoC,18-24,682
2019,CA-608,Riverside County CoC,25-34,1479
2019,CA-608,Riverside County CoC,35-44,1259
2019,CA-608,Riverside County CoC,45-54,1160
2019,CA-608,Riverside County CoC,55-64,1001
2019,CA-608,Riverside County CoC,65+,380
2019,CA-608,Riverside County CoC,Under 18,2000
2019,CA-608,Riverside County CoC,Unknown,107
2019,CA-609,San Bernardino County CoC,18-24,653
2019,CA-609,San Bernardino County CoC,25-34,1250
2019,CA-609,San Bernardino County CoC,35-44,1034
2019,CA-609,San Bernardino County CoC,45-54,785
2019,CA-609,San Bernardino County CoC,55-64,724
2019,CA-609,San Bernardino County CoC,65+,227
2019,CA-609,San Bernardino County CoC,Under 18,3068
2019,CA-609,San Bernardino County CoC,Unknown,346
2019,CA-611,Ventura County CoC,18-24,127
2019,CA-611,Ventura County CoC,25-34,252
2019,CA-611,Ventura County CoC,35-44,337
2019,CA-611,Ventura County CoC,45-54,351
2019,CA-611,Ventura County CoC,55-64,338
2019,CA-611,Ventura County CoC,65+,139
2019,CA-611,Ventura County CoC,Under 18,504
2019,CA-611,Ventura County CoC,Unknown,22
2019,CA-612,Glendale CoC (Los Angeles County),18-24,25
2019,CA-612,Glendale CoC (Los Angeles County),25-34,69
